,Close,High,Low,Open,Volume,MA_7,MA_21,Daily_Return,Close_Yesterday,Volatility_7d,RSI_14,Target
51,-1.2078194871669128,-1.2168609094951086,-1.1980650282005372,-1.2091180244028579,0.20123478920943066,-1.202370007008342,-1.1973087944738534,0.20462585514913123,-1.2091717806755722,-1.0535491283045222,-0.2862162405961661,1
52,-1.2085620954423144,-1.217640317043334,-1.1977084480891396,-1.2066939740035976,-0.033388018582888056,-1.2034032499344438,-1.19689617688527,-0.1248323992784872,-1.206682550345957,-1.052591900903371,-0.3754985071944755,2
53,-1.2002185556762908,-1.2101185643103158,-1.195856222196244,-1.2074726308607255,0.2129664884549905,-1.2034485448767007,-1.1960105891148698,0.7977146658726778,-1.207425169532434,-1.0538990256418,-0.36562452172938265,0
54,-1.208977361191751,-1.2096675287971455,-1.199775655430653,-1.1992270182873843,0.39243134164640436,-1.2036310760013313,-1.1954661650761285,-0.9156625514672961,-1.1990815071755447,-1.0510015933211956,-0.37820355241201253,0
55,-1.2188257911092908,-1.219071063360681,-1.207306979874332,-1.2078559418001638,0.2742456593983313,-1.2072859710968091,-1.1952207953965803,-1.0510875868940315,-1.2078404413833321,-1.0787976647615376,-1.011405862878887,0
56,-1.2354654482218703,-1.2284415825914738,-1.2268020441227552,-1.217849806447377,0.6384354021630303,-1.2109982876556151,-1.1964311432051176,-1.7975625520890957,-1.2176890160029512,-0.9036277647387734,-1.4497213745044562,1
57,-1.236615714705387,-1.241709477394706,-1.2309317990781279,-1.2342346186905047,0.4103855651442242,-1.2147613759378015,-1.197874136054171,-0.17757215562762188,-1.234328917600489,-0.8155009154716716,-1.4136969189441018,0
58,-1.2401927556920478,-1.243044064635944,-1.2336670592107961,-1.2353956511260669,0.3705450019131662,-1.2193922084539597,-1.1995891180625273,-0.44919530483871795,-1.2354792009847657,-0.7623833534531222,-1.5880300052395138,0
59,-1.2425216922252447,-1.2466551742395513,-1.230207639362164,-1.2391475711853024,-0.03549040524520096,-1.2242499572134315,-1.2015210465202988,-0.313128963092733,-1.2390562945285621,-0.7434839901127874,-1.4189430686739577,1
60,-1.2437047272576505,-1.2481909860948632,-1.2343720728349044,-1.2414288854953526,-0.055910827144057255,-1.2304704343705606,-1.2038935313183796,-0.18460051814215442,-1.2413852652806103,-0.847530567353039,-1.5010534098144936,2
61,-1.2338963304673929,-1.24207378239656,-1.2323784701710216,-1.2425940335193324,0.2900214240903824,-1.234034967037418,-1.2054000772995603,1.0745239305384648,-1.2425683176952416,-0.9919795368246431,-0.9551514283502965,0
62,-1.2365106121570462,-1.2426936414298104,-1.226783753899244,-1.2329481543443064,0.2683234091420172,-1.2365646913464359,-1.2075683656292056,-0.3388396327313422,-1.232759776791108,-1.1288861459290955,-1.6347892883254265,1
63,-1.237549509224166,-1.2445249942590595,-1.2265422088331182,-1.2354016062577924,-0.08366728290763102,-1.2368628057443563,-1.2099661729956124,-0.1656123128671469,-1.2353740968921627,-1.1346972038151169,-1.3310240239224547,2
64,-1.2272206817792355,-1.2351315332110027,-1.2250872960450547,-1.236303761946148,0.14445134710534027,-1.2355188937469925,-1.2116996695326445,1.1081027857522356,-1.236413009223702,-1.0727829699851479,-0.7922000550689651,1
65,-1.2258228272398382,-1.2343251605817094,-1.2161665802899106,-1.2261502311755526,0.19645887750814248,-1.2334633480772776,-1.213515524417524,0.10149558541228422,-1.2260840300182556,-1.035019691926236,-0.8405433821999626,0
66,-1.2326101883073208,-1.2344658826790365,-1.22075425650844,-1.224768048219945,-0.015931088716303835,-1.2320455575136984,-1.2150106665223468,-0.7797271804637477,-1.2246861549403099,-1.057163189080104,-0.9977549644119607,0
67,-1.2582102507803832,-1.2422928199343464,-1.2462509865770557,-1.2315810930582636,0.15712334298635142,-1.2341204993732398,-1.2177985028579315,-2.86914830472441,-1.231473615733867,-0.9213727015506095,-1.8113994707750378,0
68,-1.264099828436572,-1.2654566077261031,-1.25972674460774,-1.2570288051413256,0.4779640138424306,-1.238440957172822,-1.2204950261939977,-0.762416585907259,-1.257074054346303,-0.7953984724424625,-1.7760793666700563,1
69,-1.2645440901426852,-1.266741242001103,-1.2556801673759257,-1.2630629904609654,0.26036332332031603,-1.242451004576473,-1.223902535754556,-0.10462012140383933,-1.2629637185375173,-0.7249286737069255,-1.6443119373197634,1
70,-1.2644897928754246,-1.2725948758523393,-1.2612616176883629,-1.2634479382821606,0.09767479099045008,-1.246304676053294,-1.2265310673909324,-0.04286274170522856,-1.2634079867711268,-0.6893768906115997,-1.324010829965159,0
71,-1.3583748812344172,-1.2732772643902075,-1.3515791059227074,-1.2633353519959796,0.8024659246205577,-1.2650656217080778,-1.2336104030240826,-11.69503448422536,-1.2633536887060814,0.04782734597541249,-2.2776480534435195,2
72,-1.3394449176857615,-1.3390372195029376,-1.3760332932511903,-1.3557890526419212,1.7320341749592745,-1.2813186877394658,-1.2399036731866264,3.68753452298219,-1.3572401565100802,0.142991222074283,-1.7452793702747267,0
